temperature in °C,description,date
32,Partly cloudy,2021-05-31T08:07:47.587Z
,Partly cloudy,2021-05-31T06:33:39.005Z
,Partly cloudy,2021-05-31T04:02:46.335Z
,Partly cloudy,2021-05-31T00:40:23.458Z
,Clear,2021-05-30T23:20:56.143Z
,Clear,2021-05-30T22:15:56.781Z
,Clear,2021-05-30T21:18:09.728Z
,Clear,2021-05-30T20:04:04.698Z
,Clear,2021-05-30T18:30:09.720Z
,Sunny,2021-05-30T16:31:56.575Z
,Sunny,2021-05-30T15:10:01.348Z
,Sunny,2021-05-30T13:55:55.987Z
,Sunny,2021-05-30T12:24:41.194Z
,Sunny,2021-05-30T11:31:58.810Z
,Sunny,2021-05-30T10:30:30.222Z
,Sunny,2021-05-30T09:27:26.593Z
,Sunny,2021-05-30T08:31:28.105Z
,Sunny,2021-05-30T07:00:05.390Z
,Sunny,2021-05-30T05:27:31.314Z
,Sunny,2021-05-30T03:54:27.236Z
,Clear,2021-05-29T23:15:22.628Z
,Clear,2021-05-29T22:14:05.904Z
,Clear,2021-05-29T21:16:32.750Z
,Clear,2021-05-29T20:05:45.191Z
,Clear,2021-05-29T18:33:52.625Z
,Sunny,2021-05-29T16:28:12.771Z
,Sunny,2021-05-29T15:10:18.393Z
,Partly cloudy,2021-05-29T13:56:15.097Z
,Partly cloudy,2021-05-29T12:21:51.332Z
,Partly cloudy,2021-05-29T11:29:50.967Z
,Partly cloudy,2021-05-29T10:30:57.774Z
,Sunny,2021-05-29T09:36:02.290Z
,Sunny,2021-05-29T08:46:27.110Z
,Sunny,2021-05-29T07:13:47.590Z
,Sunny,2021-05-29T05:46:05.616Z
,Sunny,2021-05-29T03:39:03.714Z
,Partly cloudy,2021-05-29T00:29:44.244Z
,Partly cloudy,2021-05-28T23:15:57.927Z
,Clear,2021-05-28T22:11:17.256Z
,Clear,2021-05-28T21:13:02.027Z
,Clear,2021-05-28T19:59:38.081Z
,Clear,2021-05-28T18:26:28.947Z
,Clear,2021-05-28T16:24:01.289Z
,Sunny,2021-05-28T15:06:17.067Z
,Sunny,2021-05-28T14:23:35.600Z
,Sunny,2021-05-28T13:46:11.393Z
,Sunny,2021-05-28T12:24:58.234Z
,Sunny,2021-05-28T11:30:02.505Z
,Partly cloudy,2021-05-28T10:28:11.551Z
,Partly cloudy,2021-05-28T09:26:02.970Z
,Partly cloudy,2021-05-28T08:32:51.836Z
,Partly cloudy,2021-05-28T07:44:26.171Z
,Partly cloudy,2021-05-28T06:50:10.493Z
,Partly cloudy,2021-05-28T05:13:59.424Z
,Partly cloudy,2021-05-28T03:16:02.713Z
,Partly cloudy,2021-05-28T00:22:05.112Z
,Partly cloudy,2021-05-27T23:11:33.776Z
,Partly cloudy,2021-05-27T22:08:45.140Z
,Partly cloudy,2021-05-27T21:07:32.342Z
,Partly cloudy,2021-05-27T20:13:53.918Z
,Partly cloudy,2021-05-27T19:44:52.689Z
,Partly cloudy,2021-05-27T18:18:37.279Z
,Partly cloudy,2021-05-27T16:26:19.813Z
,Partly cloudy,2021-05-27T15:17:20.633Z
,Partly cloudy,2021-05-27T14:24:19.376Z
,Partly cloudy,2021-05-27T13:37:21.756Z
,Partly cloudy,2021-05-27T12:19:02.007Z
,Partly cloudy,2021-05-27T11:23:03.957Z
,Partly cloudy,2021-05-27T10:27:27.545Z
,Partly cloudy,2021-05-27T09:28:41.419Z
,Partly cloudy,2021-05-27T08:29:32.032Z
,Partly cloudy,2021-05-27T07:37:20.677Z
,Partly cloudy,2021-05-27T06:28:49.748Z
,Partly cloudy,2021-05-27T05:44:51.380Z
,Partly cloudy,2021-05-27T04:44:33.499Z
,Partly cloudy,2021-05-27T02:58:09.258Z
,Partly cloudy,2021-05-27T00:20:36.333Z
,Partly cloudy,2021-05-26T23:09:03.847Z
,Partly cloudy,2021-05-26T22:05:52.271Z
,Partly cloudy,2021-05-26T21:09:12.754Z
,Partly cloudy,2021-05-26T20:17:23.016Z
